node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PTFE,Polytetrafluoroethylene,C2HF5,"{""C"": 2, ""F"": 5, ""H"": 1}",119.99984084588,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,PTFE,Polytetrafluoroethylene,C2HF4,"{""C"": 2, ""F"": 4, ""H"": 1}",101.00143768315,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;2;3;4;5;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PTFE,Polytetrafluoroethylene,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,1,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0004,PTFE,Polytetrafluoroethylene,C2HF4,"{""C"": 2, ""F"": 4, ""H"": 1}",101.00143768315,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;3;4;5;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,PTFE,Polytetrafluoroethylene,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,2,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,PTFE,Polytetrafluoroethylene,CHF2,"{""C"": 1, ""F"": 2, ""H"": 1}",51.00463135769,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-C bond break(s)",node_0001,0;1;2;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0007,PTFE,Polytetrafluoroethylene,CF3,"{""C"": 1, ""F"": 3}",68.99520948819,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,3;4;5;6,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PTFE,Polytetrafluoroethylene,C2HF4,"{""C"": 2, ""F"": 4, ""H"": 1}",101.00143768315,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;2;3;5;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0009,PTFE,Polytetrafluoroethylene,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,4,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0010,PTFE,Polytetrafluoroethylene,C2HF4,"{""C"": 2, ""F"": 4, ""H"": 1}",101.00143768315,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;2;3;4;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0011,PTFE,Polytetrafluoroethylene,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,5,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0012,PTFE,Polytetrafluoroethylene,C2HF4,"{""C"": 2, ""F"": 4, ""H"": 1}",101.00143768315,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;2;3;4;5;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0013,PTFE,Polytetrafluoroethylene,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,6,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0014,PTFE,Polytetrafluoroethylene,C2HF3,"{""C"": 2, ""F"": 3, ""H"": 1}",82.00303452042,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-F bond break(s)",node_0001,0;3;4;5;6;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0015,PTFE,Polytetrafluoroethylene,CHF,"{""C"": 1, ""F"": 1, ""H"": 1}",32.00622819496,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-C bond break(s)",node_0001,0;2;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0016,PTFE,Polytetrafluoroethylene,C2HF3,"{""C"": 2, ""F"": 3, ""H"": 1}",82.00303452042,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-F bond break(s)",node_0001,0;2;3;5;6;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0017,PTFE,Polytetrafluoroethylene,C2HF3,"{""C"": 2, ""F"": 3, ""H"": 1}",82.00303452042,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-F bond break(s)",node_0001,0;2;3;4;6;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0018,PTFE,Polytetrafluoroethylene,C2HF3,"{""C"": 2, ""F"": 3, ""H"": 1}",82.00303452042,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-F bond break(s)",node_0001,0;2;3;4;5;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0019,PTFE,Polytetrafluoroethylene,CHF,"{""C"": 1, ""F"": 1, ""H"": 1}",32.00622819496,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-C bond break(s)",node_0001,0;1;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0020,PTFE,Polytetrafluoroethylene,C2HF3,"{""C"": 2, ""F"": 3, ""H"": 1}",82.00303452042,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F+C-F bond break(s)",node_0001,0;1;3;5;6;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
