node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PVDF,Polyvinylidene Fluoride,C2H4F2,"{""C"": 2, ""F"": 2, ""H"": 4}",66.02810645438,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,PVDF,Polyvinylidene Fluoride,CHF2,"{""C"": 1, ""F"": 2, ""H"": 1}",51.00463135769,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-C bond break(s)",node_0001,1;2;3;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PVDF,Polyvinylidene Fluoride,C2H4F,"{""C"": 2, ""F"": 1, ""H"": 4}",47.02970329165,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;3;4;5;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PVDF,Polyvinylidene Fluoride,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,2,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PVDF,Polyvinylidene Fluoride,C2H4F,"{""C"": 2, ""F"": 1, ""H"": 4}",47.02970329165,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-F bond break(s)",node_0001,0;1;2;4;5;6;7,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,PVDF,Polyvinylidene Fluoride,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,3,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PVDF,Polyvinylidene Fluoride,CHF,"{""C"": 1, ""F"": 1, ""H"": 1}",32.00622819496,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-C+C-F bond break(s)",node_0001,1;3;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0008,PVDF,Polyvinylidene Fluoride,CHF,"{""C"": 1, ""F"": 1, ""H"": 1}",32.00622819496,neutral,0,fragment,bond_break,"M | fragment C,F,H from C-C+C-F bond break(s)",node_0001,1;2;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0009,PVDF,Polyvinylidene Fluoride,C2H4,"{""C"": 2, ""H"": 4}",28.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-F+C-F bond break(s)",node_0001,0;1;4;5;6;7,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0010,PVDF,Polyvinylidene Fluoride,CF2,"{""C"": 1, ""F"": 2}",49.99680632546,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,F,H from C-C bond break(s) | h_shift_-1",node_0002,1;2;3;7,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0011,PVDF,Polyvinylidene Fluoride,CH2F2,"{""C"": 1, ""F"": 2, ""H"": 2}",52.01245638992,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,F,H from C-C bond break(s) | h_shift_+1",node_0002,1;2;3;7,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0012,PVDF,Polyvinylidene Fluoride,C2H3F,"{""C"": 2, ""F"": 1, ""H"": 3}",46.02187825942,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,F,H from C-F bond break(s) | h_shift_-1",node_0003,0;1;3;4;5;6;7,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0013,PVDF,Polyvinylidene Fluoride,C2H5F,"{""C"": 2, ""F"": 1, ""H"": 5}",48.03752832388,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,F,H from C-F bond break(s) | h_shift_+1",node_0003,0;1;3;4;5;6;7,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0014,PVDF,Polyvinylidene Fluoride,FH,"{""F"": 1, ""H"": 1}",20.00622819496,neutral,0,fragment_h_shift,h_shift_+1,M | single-atom F from C-F bond break | h_shift_+1,node_0004,2,F,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0015,PVDF,Polyvinylidene Fluoride,C2H3F,"{""C"": 2, ""F"": 1, ""H"": 3}",46.02187825942,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,F,H from C-F bond break(s) | h_shift_-1",node_0005,0;1;2;4;5;6;7,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0016,PVDF,Polyvinylidene Fluoride,C2H5F,"{""C"": 2, ""F"": 1, ""H"": 5}",48.03752832388,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,F,H from C-F bond break(s) | h_shift_+1",node_0005,0;1;2;4;5;6;7,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0017,PVDF,Polyvinylidene Fluoride,FH,"{""F"": 1, ""H"": 1}",20.00622819496,neutral,0,fragment_h_shift,h_shift_+1,M | single-atom F from C-F bond break | h_shift_+1,node_0006,3,F,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0018,PVDF,Polyvinylidene Fluoride,CF,"{""C"": 1, ""F"": 1}",30.99840316273,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,F,H from C-C+C-F bond break(s) | h_shift_-1",node_0007,1;3;7,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0019,PVDF,Polyvinylidene Fluoride,CH2F,"{""C"": 1, ""F"": 1, ""H"": 2}",33.01405322719,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,F,H from C-C+C-F bond break(s) | h_shift_+1",node_0007,1;3;7,C;C,2,1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0020,PVDF,Polyvinylidene Fluoride,CF,"{""C"": 1, ""F"": 1}",30.99840316273,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,F,H from C-C+C-F bond break(s) | h_shift_-1",node_0008,1;2;7,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
