edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,STD001,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,STD001,node_0002,node_0003,h_shift_-1,h_shift,0.9
edge_0003,STD001,node_0002,node_0004,h_shift_+1,h_shift,0.9
edge_0004,STD001,node_0001,node_0005,aromatic_C6H5,feature_rule,0.7
edge_0005,STD001,node_0001,node_0006,aromatic_C6H5,feature_rule,0.7
edge_0006,STD001,node_0001,node_0007,aromatic_C7H7,feature_rule,0.7
edge_0007,STD001,node_0001,node_0008,small_hc_C2H3,feature_rule,0.7
edge_0008,STD001,node_0001,node_0009,small_hc_C2H5,feature_rule,0.7
edge_0009,STD001,node_0001,node_0010,small_hc_C3H3,feature_rule,0.7
edge_0010,STD001,node_0001,node_0011,small_hc_C3H5,feature_rule,0.7
edge_0011,STD001,node_0001,node_0012,small_hc_C3H7,feature_rule,0.7
edge_0012,STD001,node_0001,node_0013,small_hc_C4H3,feature_rule,0.7
edge_0013,STD001,node_0001,node_0014,small_hc_C4H5,feature_rule,0.7
edge_0014,STD001,node_0001,node_0015,small_hc_C4H7,feature_rule,0.7
edge_0015,STD001,node_0001,node_0016,small_hc_C4H9,feature_rule,0.7
edge_0016,STD001,node_0001,node_0017,small_hc_C5H5,feature_rule,0.7
edge_0017,STD001,node_0001,node_0018,small_hc_C5H7,feature_rule,0.7
edge_0018,STD001,node_0001,node_0019,small_hc_C5H9,feature_rule,0.7
edge_0019,STD001,node_0001,node_0020,small_hc_C5H11,feature_rule,0.7
edge_0020,STD001,node_0001,node_0021,small_hc_C6H5,feature_rule,0.7
edge_0021,STD001,node_0001,node_0022,small_hc_C6H7,feature_rule,0.7
edge_0022,STD001,node_0001,node_0023,small_hc_C6H9,feature_rule,0.7
edge_0023,STD001,node_0001,node_0024,small_hc_C6H11,feature_rule,0.7
edge_0024,STD001,node_0001,node_0025,small_hc_C2,feature_rule,0.7
edge_0025,STD001,node_0001,node_0026,small_hc_C2H,feature_rule,0.7
edge_0026,STD001,node_0001,node_0027,small_hc_C3,feature_rule,0.7
edge_0027,STD001,node_0001,node_0028,small_hc_C3H,feature_rule,0.7
edge_0028,STD001,node_0001,node_0029,small_hc_C4,feature_rule,0.7
edge_0029,STD001,node_0001,node_0030,small_hc_C4H,feature_rule,0.7
edge_0030,STD001,node_0001,node_0031,small_hc_C5,feature_rule,0.7
edge_0031,STD001,node_0001,node_0032,small_hc_C5H,feature_rule,0.7
edge_0032,STD001,node_0001,node_0033,small_hc_C6,feature_rule,0.7
edge_0033,STD001,node_0001,node_0034,small_hc_C6H,feature_rule,0.7
edge_0034,STD001,node_0001,node_0035,electron_loss,ionization,1.0
edge_0035,STD001,node_0001,node_0036,electron_gain,ionization,1.0
edge_0036,STD001,node_0001,node_0037,protonation,ionization,1.0
edge_0037,STD001,node_0001,node_0038,deprotonation,ionization,1.0
edge_0038,STD001,node_0002,node_0039,electron_loss,ionization,1.0
edge_0039,STD001,node_0002,node_0040,electron_gain,ionization,1.0
edge_0040,STD001,node_0002,node_0041,protonation,ionization,1.0
edge_0041,STD001,node_0002,node_0042,deprotonation,ionization,1.0
edge_0042,STD001,node_0003,node_0043,electron_loss,ionization,1.0
edge_0043,STD001,node_0003,node_0044,electron_gain,ionization,1.0
edge_0044,STD001,node_0004,node_0045,electron_loss,ionization,1.0
edge_0045,STD001,node_0004,node_0046,electron_gain,ionization,1.0
