node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,STD001,Toluene,C7H8,"{""C"": 7, ""H"": 8}",92.06260025784,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,STD001,Toluene,C6H5,"{""C"": 6, ""H"": 5}",77.03912516115,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,1;2;3;4;5;6;10;11;12;13;14,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,STD001,Toluene,C6H4,"{""C"": 6, ""H"": 4}",76.03130012892,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0002,1;2;3;4;5;6;10;11;12;13;14,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0004,STD001,Toluene,C6H6,"{""C"": 6, ""H"": 6}",78.04695019338,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0002,1;2;3;4;5;6;10;11;12;13;14,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0005,STD001,Toluene,C6H5,"{""C"": 6, ""H"": 5}",77.03912516115,positive,1,feature_rule,aromatic_C6H5,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0001,,,0,0,,aromatic_stable_fragments,aromatic_ring,"aromatic atoms present; heavy element counts={'C': 7, 'H': 8}",0.7,0.8,0.79,0.99,3,2,3
node_0006,STD001,Toluene,C6H5,"{""C"": 6, ""H"": 5}",77.03912516115,negative,-1,feature_rule,aromatic_C6H5,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0001,,,0,0,,aromatic_stable_fragments,aromatic_ring,"aromatic atoms present; heavy element counts={'C': 7, 'H': 8}",0.7,0.8,0.79,0.9300000000000002,2,2,2
node_0007,STD001,Toluene,C7H7,"{""C"": 7, ""H"": 7}",91.05477522561,positive,1,feature_rule,aromatic_C7H7,M | aromatic_ring | aromatic_stable_fragments | aromatic_C7H7,node_0001,,,0,0,,aromatic_stable_fragments,aromatic_ring,"aromatic atoms present; heavy element counts={'C': 7, 'H': 8}",0.7,0.8,0.79,0.79,1,1,1
node_0008,STD001,Toluene,C2H3,"{""C"": 2, ""H"": 3}",27.02347509669,positive,1,feature_rule,small_hc_C2H3,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H3,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0009,STD001,Toluene,C2H5,"{""C"": 2, ""H"": 5}",29.03912516115,positive,1,feature_rule,small_hc_C2H5,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H5,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0010,STD001,Toluene,C3H3,"{""C"": 3, ""H"": 3}",39.02347509669,positive,1,feature_rule,small_hc_C3H3,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H3,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0011,STD001,Toluene,C3H5,"{""C"": 3, ""H"": 5}",41.03912516115,positive,1,feature_rule,small_hc_C3H5,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H5,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0012,STD001,Toluene,C3H7,"{""C"": 3, ""H"": 7}",43.05477522561,positive,1,feature_rule,small_hc_C3H7,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H7,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0013,STD001,Toluene,C4H3,"{""C"": 4, ""H"": 3}",51.02347509669,positive,1,feature_rule,small_hc_C4H3,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H3,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
node_0014,STD001,Toluene,C4H5,"{""C"": 4, ""H"": 5}",53.03912516115,positive,1,feature_rule,small_hc_C4H5,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H5,node_0001,,,0,0,,hydrocarbon_small_fragments,universal_hydrocarbon,universal TOF-SIMS small HC fragments; parent C=7,0.48,0.8,0.6580000000000001,0.6580000000000001,1,1,1
