spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,network_score,generation_type,matched_ion_mode,network_path
COC_neg,COC,neg,COC,C4H,C_4H-,49.0086,527570.15,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_neg,COC,neg,COC,C6H,C_6H-,73.0084,218623.26,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_neg,COC,neg,COC,C4,C_4-,48.0003,197248.35,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_neg,COC,neg,COC,C3,C_3-,36.0004,188927.89,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_neg,COC,neg,COC,C3H,C_3H-,37.0082,111667.77,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_neg,COC,neg,COC,C8H,C_8H-,97.0085,91448.12,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_neg,COC,neg,COC,C6,C_6-,72.0002,78881.65,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_neg,COC,neg,COC,C3H2,C_3H_2-,38.0162,77555.84,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_neg,COC,neg,COC,C5,C_5-,60.0005,71296.29,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_neg,COC,neg,COC,C5H2,C_5H_2-,62.0162,59444.44,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_neg,COC,neg,COC,C5H,C_5H-,61.0081,56480.89,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_neg,COC,neg,COC,C4H2,C_4H_2-,50.0132,38199.3,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_neg,COC,neg,COC,C4H3,C_4H_3-,51.0244,35898.46,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_neg,COC,neg,COC,C10H,C_10H-,121.0076,35421.39,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_neg,COC,neg,COC,C7H2,C_7H_2-,86.0159,34530.85,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_neg,COC,neg,COC,C7,C_7-,84.0002,33835.36,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_neg,COC,neg,COC,C8,C_8-,96.0,31752.9,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_neg,COC,neg,COC,C7H,C_7H-,85.0078,31620.44,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_neg,COC,neg,COC,C5H3,C_5H_3-,63.0239,25216.38,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_neg,COC,neg,COC,C6H2,C_6H_2-,74.0133,23502.1,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_neg,COC,neg,COC,C6H3,C_6H_3-,75.0243,23456.11,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_neg,COC,neg,COC,C9H,C_9H-,109.0071,18522.91,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_neg,COC,neg,COC,C3H3,C_3H_3-,39.0242,18309.53,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_neg,COC,neg,COC,C9H2,C_9H_2-,110.0151,15666.1,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_neg,COC,neg,COC,C5H5,C_5H_5-,65.0406,13741.21,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_neg,COC,neg,COC,C9,C_9-,107.9993,13661.98,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_neg,COC,neg,COC,C12H,C_12H-,145.0061,13416.04,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
COC_neg,COC,neg,COC,C7H3,C_7H_3-,87.0234,12659.83,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_neg,COC,neg,COC,C8H2,C_8H_2-,98.0129,11642.06,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_neg,COC,neg,COC,C8H3,C_8H_3-,99.0242,11067.89,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
