spectrum_key,material,polarity,generation_type,matched,matched_intensity
COC_neg,COC,neg,carbon_cluster,52,2220755.48
COC_neg,COC,neg,adduct,2,4998.61
COC_neg,COC,neg,neutral_loss,1,3277.43
COC_pos,COC,pos,carbon_cluster,45,6621392.52
COC_pos,COC,pos,neutral_loss,8,1657629.56
COC_pos,COC,pos,adduct,7,1264179.42
EVA_neg,EVA,neg,carbon_cluster,31,5300533.59
EVA_neg,EVA,neg,adduct,10,2181195.34
EVA_neg,EVA,neg,fragment,2,1243910.99
EVA_neg,EVA,neg,neutral_loss,1,265394.74
EVA_pos,EVA,pos,carbon_cluster,44,6593884.0
EVA_pos,EVA,pos,neutral_loss,13,2209658.0
EVA_pos,EVA,pos,adduct,10,2895070.0
EVA_pos,EVA,pos,fragment,2,848027.0
PDMS_neg,PDMS,neg,siloxane_fragment,47,1439529.52
PDMS_neg,PDMS,neg,adduct,14,2209019.84
PDMS_neg,PDMS,neg,neutral_loss,7,221719.29
PDMS_neg,PDMS,neg,fragment,1,190562.54
PDMS_pos,PDMS,pos,siloxane_fragment,49,6603841.98
PDMS_pos,PDMS,pos,neutral_loss,17,1146623.57
PDMS_pos,PDMS,pos,adduct,6,721646.1
PDMS_pos,PDMS,pos,fragment,3,277462.43
PET_neg,PET,neg,carbon_cluster,101,5011642.76
PET_neg,PET,neg,neutral_loss,71,3241807.38
PET_neg,PET,neg,adduct,42,3508996.71
PET_neg,PET,neg,fragment,7,1249039.82
PET_pos,PET,pos,carbon_cluster,115,5617889.52
PET_pos,PET,pos,neutral_loss,80,3582612.25
PET_pos,PET,pos,adduct,59,3823585.24
PET_pos,PET,pos,fragment,8,1523412.82
POMC_neg,POMC,neg,adduct,22,15151954.53
POMC_neg,POMC,neg,carbon_cluster,16,4222116.06
POMC_neg,POMC,neg,neutral_loss,13,4584968.67
POMC_pos,POMC,pos,adduct,22,10314170.77
POMC_pos,POMC,pos,carbon_cluster,16,2827028.26
POMC_pos,POMC,pos,neutral_loss,13,3221736.99
POMH_neg,POMH,neg,adduct,29,12196035.36
POMH_neg,POMH,neg,neutral_loss,9,3494753.12
POMH_neg,POMH,neg,carbon_cluster,9,839156.31
POMH_pos,POMH,pos,adduct,28,16627383.07
POMH_pos,POMH,pos,neutral_loss,10,4284617.48
POMH_pos,POMH,pos,carbon_cluster,8,1509680.17
