spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,heavy_atoms
COC_neg,COC,neg,COC,C2HO,C_2HO-,41.0038,14972.35,3
COC_neg,COC,neg,COC,C2O,C_2O-,39.9952,4641.52,3
COC_neg,COC,neg,COC,CNO,CNO-,41.9998,3790.44,3
COC_neg,COC,neg,COC,C4HO,C_4HO-,65.0037,3745.44,5
COC_neg,COC,neg,COC,CHO2,CHO_2-,44.9987,2441.26,3
COC_pos,COC,pos,COC,C5HO,C_5HO+,76.9983,152306.38,6
COC_pos,COC,pos,COC,ClCs2,Cs_2Cl+,300.7684,131005.01,3
COC_pos,COC,pos,COC,C4HO,C_4HO+,65.0009,59611.54,5
COC_pos,COC,pos,COC,C15H9,C_15H_9+,189.0513,49516.34,15
COC_pos,COC,pos,COC,ClCs2,Cs_2^37Cl+,302.7653,42952.91,3
COC_pos,COC,pos,COC,C16H10,C_16H_10+,202.0598,40092.55,16
COC_pos,COC,pos,COC,C9H8Cl,C_9H_8Cl+,151.0339,30641.24,10
COC_pos,COC,pos,COC,C17H11,C_17H_11+,215.0674,27127.73,17
COC_pos,COC,pos,COC,C10H8Cl,C_10H_8Cl+,163.039,25805.34,11
EVA_neg,EVA,neg,EVA,C2KO,C_2OK-,78.9564,535510.34,4
EVA_neg,EVA,neg,EVA,CNO,CNO-,42.0028,158399.65,3
EVA_neg,EVA,neg,EVA,O3S,SO_3-,79.9625,121522.88,4
EVA_neg,EVA,neg,EVA,C3NO,C_3NO-,66.0043,87713.88,5
PDMS_neg,PDMS,neg,PDMS,C6H3O2Si,SiC_6H_3O_2-,134.9967,74121.02,9
PDMS_neg,PDMS,neg,PDMS,C2HO,C_2HO-,41.0052,44767.32,3
PDMS_neg,PDMS,neg,PDMS,C8H7OSi,SiC_8H_7O-,147.0359,44694.72,10
PDMS_neg,PDMS,neg,PDMS,C3H3,C_3H_3-,39.0301,32231.09,3
PDMS_neg,PDMS,neg,PDMS,C6H2,C_6H_2-,74.016,26363.15,6
PDMS_neg,PDMS,neg,PDMS,C6HOSi,SiC_6HO-,116.9856,25667.14,8
PDMS_neg,PDMS,neg,PDMS,CO5Si,SiCO_5-,119.9604,24297.6,7
PDMS_neg,PDMS,neg,PDMS,C4H,C_4H-,49.0114,17693.7,4
PDMS_neg,PDMS,neg,PDMS,C2H3O,C_2H_3O-,43.0217,17170.64,3
PDMS_neg,PDMS,neg,PDMS,C3H2,C_3H_2-,38.0182,16385.71,3
PDMS_neg,PDMS,neg,PDMS,C6H3O2Si,^29SiC_6H_3O_2-,135.9978,9094.22,9
PDMS_neg,PDMS,neg,PDMS,N2O,N_2O-,44.0035,8621.56,3
PDMS_neg,PDMS,neg,PDMS,C3H,C_3H-,37.009,8146.4,3
PDMS_neg,PDMS,neg,PDMS,C4H3,C_4H_3-,51.0294,7816.73,4
PDMS_neg,PDMS,neg,PDMS,C3,C_3-,36.0007,7674.58,3
PDMS_neg,PDMS,neg,PDMS,C6,C_6-,72.0042,6750.43,6
PDMS_neg,PDMS,neg,PDMS,C8H5OSi,SiC_8H_5O-,145.0176,4537.6,10
PDMS_neg,PDMS,neg,PDMS,C5H3,C_5H_3-,63.0258,3791.09,5
PDMS_neg,PDMS,neg,PDMS,C8H3OSi,SiC_8H_3O-,143.0018,2199.09,10
PDMS_neg,PDMS,neg,PDMS,C4H2,C_4H_2-,50.0163,1610.97,4
PDMS_neg,PDMS,neg,PDMS,C4,C_4-,48.0009,1535.94,4
PDMS_neg,PDMS,neg,PDMS,C5H5,C_5H_5-,65.0454,1194.55,5
PDMS_neg,PDMS,neg,PDMS,C4H4,C_4H_4-,52.0314,398.85,4
PDMS_pos,PDMS,pos,PDMS,C8H5O4Si,SiC_8H_5O_4+,192.9906,78318.79,13
PDMS_pos,PDMS,pos,PDMS,C6H3OSi,SiC_6H_3O+,118.9842,42990.0,8
PDMS_pos,PDMS,pos,PDMS,CHO2,CHO_2+,44.9949,41721.67,3
PDMS_pos,PDMS,pos,PDMS,C2H11Si3,Si_3C_2H_11+,119.0244,38125.64,5
PDMS_pos,PDMS,pos,PDMS,C2H7Si3,Si_3C_2H_7+,114.9888,31718.06,5
PDMS_pos,PDMS,pos,PDMS,C7H17OSi,SiC_7H_17O+,145.1039,23772.92,9
PDMS_pos,PDMS,pos,PDMS,C5HSi,SiC_5H+,88.9807,13660.55,6
PDMS_pos,PDMS,pos,PDMS,C7H9Si3,Si_3C_7H_9+,177.0021,11073.62,10
PDMS_pos,PDMS,pos,PDMS,C6H5Si,SiC_6H_5+,105.0096,9975.52,7
PDMS_pos,PDMS,pos,PDMS,C2H8Si3,Si_3C_2H_8+,115.9931,8837.66,5
PDMS_pos,PDMS,pos,PDMS,C5H9Si,SiC_5H_9+,97.0433,7897.16,6
PDMS_pos,PDMS,pos,PDMS,C3H5,C_3H_5+,41.0406,6279.86,3
PDMS_pos,PDMS,pos,PDMS,C2H12Si3,Si_3C_2H_12+,120.0236,5331.3,5
PDMS_pos,PDMS,pos,PDMS,C3H7Si3,Si_3C_3H_7+,126.9887,4536.45,6
PDMS_pos,PDMS,pos,PDMS,C5H10O2Si,SiC_5H_10O_2+,130.0585,4071.43,8
PDMS_pos,PDMS,pos,PDMS,C5H7Si,SiC_5H_7+,95.0283,2539.32,6
PDMS_pos,PDMS,pos,PDMS,C6H9Si,SiC_6H_9+,109.0443,2144.49,7
PDMS_pos,PDMS,pos,PDMS,C2H6Si3,Si_3C_2H_6+,113.98,1605.74,5
PDMS_pos,PDMS,pos,PDMS,C5H10Si,SiC_5H_10+,98.0508,1531.77,6
PDMS_pos,PDMS,pos,PDMS,C5H8Si,SiC_5H_8+,96.0327,1320.71,6
PDMS_pos,PDMS,pos,PDMS,C4H5,C_4H_5+,53.0393,1050.21,4
PET_neg,PET,neg,PET,CHO2S,CHSO_2-,76.9701,43956.83,4
PET_neg,PET,neg,PET,CClNO,CNOCl-,76.9701,43956.83,4
PET_neg,PET,neg,PET,CNO,CNO-,41.9995,43333.16,3
PET_neg,PET,neg,PET,O3S,SO_3-,79.9582,38588.58,4
PET_neg,PET,neg,PET,HO4S,SO_4H-,96.9607,31144.04,5
PET_neg,PET,neg,PET,C2H2ClN,C_2H_2NCl-,74.9908,30685.78,4
PET_neg,PET,neg,PET,CHOS,CHSO-,60.9752,29117.43,3
PET_neg,PET,neg,PET,COS,CSO-,59.9672,28817.74,3
PET_neg,PET,neg,PET,O4S,SO_4-,95.9514,11805.64,5
PET_neg,PET,neg,PET,O2S,SO_2-,63.9632,10681.54,3
PET_neg,PET,neg,PET,HO3S,SO_3H-,80.9666,9815.59,4
PET_neg,PET,neg,PET,C2HO3S2,C_2HS_2O_3-,136.9311,8947.14,7
PET_neg,PET,neg,PET,C10HO4,C_10HO_4-,185.0362,8280.26,14
PET_neg,PET,neg,PET,C3ClN,C_3NCl-,84.9755,7939.13,5
PET_neg,PET,neg,PET,C3H3O2S2,C_3H_3S_2O_2-,134.9558,6912.49,7
PET_neg,PET,neg,PET,ClO4,ClO_4-,98.952,4665.85,5
PET_neg,PET,neg,PET,C15H5O3,C_15H_5O_3-,233.0328,4207.84,18
PET_neg,PET,neg,PET,C10H2O4,C_10H_2O_4-,186.0418,4141.83,14
PET_neg,PET,neg,PET,C15H9O3,C_15H_9O_3-,237.0482,4127.96,18
PET_neg,PET,neg,PET,C14H9O3,C_14H_9O_3-,225.0498,3982.87,17
PET_neg,PET,neg,PET,C8H8O4,C_8H_8O_4-,168.0589,3909.02,12
PET_neg,PET,neg,PET,C14H5O3,C_14H_5O_3-,221.0451,3879.5,17
PET_neg,PET,neg,PET,C8H11O4,C_8H_11O_4-,171.0463,3629.78,12
PET_neg,PET,neg,PET,C15H7O3,C_15H_7O_3-,235.0443,3416.47,18
PET_neg,PET,neg,PET,C20H9O4,C_20H_9O_4-,313.0716,3039.06,24
PET_neg,PET,neg,PET,C14H8O3,C_14H_8O_3-,224.0415,2691.85,17
PET_neg,PET,neg,PET,C8H9O4,C_8H_9O_4-,169.0669,2653.21,12
PET_neg,PET,neg,PET,H2OS2,S_2OH_2-,81.9564,2649.62,3
PET_neg,PET,neg,PET,C15H5O2,C_15H_5O_2-,217.0627,2396.05,17
PET_neg,PET,neg,PET,C2HS,C_2HS-,56.9805,2394.13,3
PET_neg,PET,neg,PET,C15H8O3,C_15H_8O_3-,236.0445,2051.41,18
PET_neg,PET,neg,PET,C21H9O6,C_21H_9O_6-,357.0635,1833.83,27
PET_neg,PET,neg,PET,C24H41O9,C_24H_41O_9-,473.2728,1020.13,33
PET_pos,PET,pos,PET,C8H10O6,C_8H_10O_6+,202.0555,63081.94,14
PET_pos,PET,pos,PET,C10H3O4,C_10H_3O_4+,187.0304,59879.23,14
PET_pos,PET,pos,PET,C8H8O6,C_8H_8O_6+,200.0359,50490.11,14
PET_pos,PET,pos,PET,C9H9O6,C_9H_9O_6+,213.0474,46106.63,15
PET_pos,PET,pos,PET,C9H11O6,C_9H_11O_6+,215.0647,35033.79,15
PET_pos,PET,pos,PET,H9O4,H_9O_4+,73.0478,30793.25,4
PET_pos,PET,pos,PET,C9H7O6,C_9H_7O_6+,211.0258,30676.99,15
PET_pos,PET,pos,PET,C8H9O6,C_8H_9O_6+,201.0335,30674.09,14
PET_pos,PET,pos,PET,C8H11O6,C_8H_11O_6+,203.0582,25633.51,14
PET_pos,PET,pos,PET,CKN,CNK+,64.9676,19974.67,3
PET_pos,PET,pos,PET,C14H10O6,C_14H_10O_6+,274.0324,18479.73,20
PET_pos,PET,pos,PET,C14H12O6,C_14H_12O_6+,276.0569,18244.43,20
PET_pos,PET,pos,PET,C10H2O4,C_10H_2O_4+,186.0108,17080.74,14
PET_pos,PET,pos,PET,C15H11O6,C_15H_11O_6+,287.0422,15999.61,21
PET_pos,PET,pos,PET,C19H8O4,C_19H_8O_4+,300.0507,12901.22,23
PET_pos,PET,pos,PET,C15H6O7,C_15H_6O_7+,298.0288,11990.99,22
PET_pos,PET,pos,PET,C7H7O4,C_7H_7O_4+,155.0422,11364.93,11
PET_pos,PET,pos,PET,C15H13O6,C_15H_13O_6+,289.068,11240.74,21
PET_pos,PET,pos,PET,C2H7Si,SiC_2H_7+,59.0313,11189.7,3
PET_pos,PET,pos,PET,C14H8O6,C_14H_8O_6+,272.0171,10155.66,20
PET_pos,PET,pos,PET,C13H7O6,C_13H_7O_6+,259.0129,10027.92,19
PET_pos,PET,pos,PET,HSi4,Si_4H+,112.9179,7825.1,4
PET_pos,PET,pos,PET,C6H6O4,C_6H_6O_4+,142.0375,7524.5,10
PET_pos,PET,pos,PET,C8H8O4,C_8H_8O_4+,168.0511,5201.99,12
PET_pos,PET,pos,PET,C23H21O4,C_23H_21O_4+,361.0444,4862.61,27
PET_pos,PET,pos,PET,C17H6O7,C_17H_6O_7+,322.0156,4779.89,24
PET_pos,PET,pos,PET,C23H10O4,C_23H_10O_4+,350.06,4581.99,27
PET_pos,PET,pos,PET,C23H13O6,C_23H_13O_6+,385.072,4577.16,29
PET_pos,PET,pos,PET,C8H9O4,C_8H_9O_4+,169.0595,4024.96,12
PET_pos,PET,pos,PET,CH4Si2,Si_2CH_4+,71.9798,3975.55,3
PET_pos,PET,pos,PET,C3H6NO,C_3H_6NO+,72.0443,3799.35,5
PET_pos,PET,pos,PET,C7H8O4,C_7H_8O_4+,156.0518,3199.23,11
PET_pos,PET,pos,PET,CH3OSi,SiCH_3O+,58.9924,2469.43,3
PET_pos,PET,pos,PET,C8H11O4,C_8H_11O_4+,171.0764,2067.03,12
PET_pos,PET,pos,PET,S3,S_3+,95.9157,1875.45,3
PET_pos,PET,pos,PET,C4H10N,C_4H_10N+,72.0842,1729.39,5
POMC_neg,POMC,neg,POMC,HNa2O,Na_2OH+,62.9781,133729.71,3
POMC_neg,POMC,neg,POMC,C9H9O4,C_9H_9O_4+,181.0502,105186.86,13
POMC_neg,POMC,neg,POMC,C11H9O8,C_11H_9O_8+,269.0545,104696.99,19
POMC_pos,POMC,pos,POMC,HNa2O,Na_2OH+,62.9766,102148.88,3
POMC_pos,POMC,pos,POMC,C9H9O4,C_9H_9O_4+,181.0382,75569.57,13
POMC_pos,POMC,pos,POMC,C11H9O8,C_11H_9O_8+,269.0348,72786.61,19
POMH_neg,POMH,neg,POMH,C2H3O4,C_2H_3O_4-,91.004,458577.47,6
POMH_neg,POMH,neg,POMH,C2HO3,C_2HO_3-,72.9937,359988.0,5
POMH_neg,POMH,neg,POMH,C2O,C_2O-,39.9951,163545.98,3
POMH_neg,POMH,neg,POMH,CHO3,CHO_3-,60.9929,123618.18,4
POMH_neg,POMH,neg,POMH,CO3,CO_3-,59.9842,40170.91,4
POMH_pos,POMH,pos,POMH,C6H9O8,C_6H_9O_8+,209.0409,246106.92,14
POMH_pos,POMH,pos,POMH,C7H11O9,C_7H_11O_9+,239.0468,177686.61,16
POMH_pos,POMH,pos,POMH,C7H13O9,C_7H_13O_9+,241.0636,152662.16,16
POMH_pos,POMH,pos,POMH,C9H9O4,C_9H_9O_4+,181.0496,145779.86,13
POMH_pos,POMH,pos,POMH,C11H9O8,C_11H_9O_8+,269.0532,142343.33,19
POMH_pos,POMH,pos,POMH,C13H15O8,C_13H_15O_8+,299.0598,102429.25,21
POMH_pos,POMH,pos,POMH,C6H9O7,C_6H_9O_7+,193.0477,97153.52,13
