material,polarity,compound_id,total_annotations,excluded_atomic_diatomic,filtered_annotations,network_total_formulas,matched_anywhere,matched_top100,intensity_matched_top100,intensity_all_annotated,overall_recall,recall_at_100,intensity_weighted_recall_at_100,enrichment_at_100
COC,neg,COC,74,14,60,76,11,11,1518645.45,2258622.53,0.1833,0.1833,0.6724,1.0
COC,pos,COC,81,12,69,79,22,22,6316128.32,10102260.54,0.3235,0.3235,0.6252,1.0
EVA,neg,EVA,60,12,48,194,15,15,5313721.99,9894181.41,0.3125,0.3125,0.5371,1.0
EVA,pos,EVA,74,5,69,192,29,20,6650514.0,12546639.0,0.4203,0.2899,0.5301,0.6897
PDMS,neg,PDMS,123,31,92,67,17,17,2304021.09,4447595.29,0.2,0.2,0.518,1.0
PDMS,pos,PDMS,128,32,96,77,17,17,5161823.62,9088076.95,0.1977,0.1977,0.568,1.0
PET,neg,PET,275,21,254,556,80,39,2858577.12,13422159.26,0.315,0.1535,0.213,0.4875
PET,pos,PET,336,38,298,556,101,44,4535391.62,15151013.34,0.3424,0.1492,0.2993,0.4356
POMC,neg,POMC,65,11,54,15,6,6,10271161.17,24302652.82,0.1132,0.1132,0.4226,1.0
POMC,pos,POMC,65,11,54,23,15,15,10081269.76,16613441.08,0.283,0.283,0.6068,1.0
POMH,neg,POMH,65,13,52,15,7,7,9881808.79,17675845.33,0.1346,0.1346,0.5591,1.0
POMH,pos,POMH,63,10,53,23,14,14,15256959.58,23485842.37,0.2745,0.2745,0.6496,1.0
