formula,ion_mode,material_count,materials
C2,negative,18,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'POMC', 'POMH', 'PPS', 'PTFE', 'PVDF', 'STD001']"
C2H,negative,18,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'POMC', 'POMH', 'PPS', 'PTFE', 'PVDF', 'STD001']"
C2H5,positive,18,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'POMC', 'POMH', 'PPS', 'PTFE', 'PVDF', 'STD001']"
C2H3,positive,18,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'POMC', 'POMH', 'PPS', 'PTFE', 'PVDF', 'STD001']"
C4H7,positive,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C4H3,positive,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C3H7,positive,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C4,negative,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C4H,negative,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C4H5,positive,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C3,negative,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C3H3,positive,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
C3H,negative,14,"['COC', 'ETFE', 'EVA', 'FEP', 'Nomex', 'PDMS', 'PEEK', 'PEI', 'PEN', 'PET', 'PFA', 'PI', 'PPS', 'STD001']"
