material,total_peaks,rank_1_50,rank_1_50_pct,rank_51_100,rank_51_100_pct,rank_101_200,rank_101_200_pct,rank_201_500,rank_201_500_pct,rank_500_plus,rank_500_plus_pct,missing,missing_pct,rank_min,rank_median,rank_p75,rank_p90,rank_max,top50_peaks,top50_matched,top50_missing,top50_in_rank1_50
COC,10,9,90.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,7,28,32,39,40,10,9,1,9
ETFE,18,6,33.3,5,27.8,0,0.0,0,0.0,0,0.0,7,38.9,1,34,58,74,75,18,11,7,6
EVA,13,8,61.5,4,30.8,0,0.0,0,0.0,0,0.0,1,7.7,1,28,75,91,97,13,12,1,8
FEP,20,8,40.0,0,0.0,0,0.0,0,0.0,0,0.0,12,60.0,1,12,14,16,20,20,8,12,8
Nomex,12,2,16.7,5,41.7,4,33.3,0,0.0,0,0.0,1,8.3,1,99,102,121,123,12,11,1,2
PEEK,13,5,38.5,7,53.8,0,0.0,0,0.0,0,0.0,1,7.7,1,64,67,68,71,13,12,1,5
PEI,14,4,28.6,7,50.0,1,7.1,0,0.0,0,0.0,2,14.3,13,77,80,81,159,14,12,2,4
PEN,18,6,33.3,4,22.2,6,33.3,1,5.6,0,0.0,1,5.6,10,99,148,150,359,18,17,1,6
PFA,20,9,45.0,0,0.0,0,0.0,0,0.0,0,0.0,11,55.0,1,4,13,14,15,20,9,11,9
PI,16,5,31.2,8,50.0,0,0.0,0,0.0,0,0.0,3,18.8,3,68,73,76,78,16,13,3,5
POMC,20,15,75.0,0,0.0,0,0.0,0,0.0,0,0.0,5,25.0,1,7,10,13,21,20,15,5,15
POMH,21,17,81.0,0,0.0,0,0.0,0,0.0,0,0.0,4,19.0,1,7,11,16,21,21,17,4,17
PPS,16,10,62.5,0,0.0,0,0.0,0,0.0,0,0.0,6,37.5,5,9,12,18,29,16,10,6,10
PTFE,9,6,66.7,0,0.0,0,0.0,0,0.0,0,0.0,3,33.3,2,5,10,28,46,9,6,3,6
PVDF,24,9,37.5,0,0.0,0,0.0,0,0.0,0,0.0,15,62.5,1,26,29,33,34,24,9,15,9
