material,total_formulas,val_diag,val_gen,feat_supp,gen_hc,struct_only,formula_evidence,pattern_evidence,pom_pattern_score,background_level,final_evidence
COC,146,7,10,2,15,112,moderate,none,0.0,medium,mixed
ETFE,376,0,0,24,15,337,feature_only,none,0.0,low,mixed
EVA,386,4,22,14,15,331,weak,weak,0.13,low,mixed
FEP,56,0,0,16,15,25,feature_only,none,0.0,high,mixed
Nomex,632,0,0,51,15,566,feature_only,weak,0.024,low,mixed
PDMS,96,21,2,20,15,38,strong,weak,0.156,high,formula-driven
PEEK,495,0,0,38,15,442,feature_only,weak,0.101,low,mixed
PEI,1045,0,0,38,15,992,feature_only,weak,0.048,low,mixed
PEN,1114,0,0,38,15,1061,feature_only,weak,0.126,low,mixed
PET,1112,60,22,21,15,994,moderate,weak,0.126,low,mixed
PFA,56,0,0,16,15,25,feature_only,none,0.0,high,mixed
PI,626,0,0,54,15,557,feature_only,weak,0.024,low,mixed
POMC,38,0,21,5,4,8,validated_generic_only,strong,1.0,medium,pattern-driven
POMH,38,0,21,4,4,9,validated_generic_only,strong,1.0,medium,pattern-driven
PPS,65,0,0,24,15,26,feature_only,none,0.0,high,mixed
PTFE,97,0,0,24,4,69,feature_only,none,0.0,low,mixed
PVDF,98,0,0,24,4,70,feature_only,none,0.0,low,mixed
