compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,material_diagnostic_score
COC,Cyclic Olefin Copolymer,C8H13,positive,1,109.10172541899,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_0269,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C8H13,node_0269;node_0336;node_0348;node_0376;node_0388,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C9H13,positive,1,121.10172541899,1.0,0.79,4,3,4,feature_rule;fragment_h_shift;recombination,node_0272,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C9H13,node_0272;node_0378;node_0906;node_1134,feature_supported_candidate,0.3
COC,Cyclic Olefin Copolymer,C7H11,positive,1,95.08607535453,0.99,0.79,3,3,2,feature_rule;fragment;fragment_h_shift,node_0262,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C7H11,node_0262;node_0344;node_0384,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C8H11,positive,1,107.08607535453,0.99,0.79,3,2,3,feature_rule;fragment_h_shift,node_0268,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C8H11,node_0268;node_0374;node_0386,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C10H16,negative,-1,136.12520051568,0.942,0.692,20,3,18,fragment;fragment_h_shift;recombination,node_0313,M | break 1 bond(s) | deprotonation,node_0313;node_0333;node_0351;node_0371;node_0447;node_0459;node_0555;node_0567;node_0611;node_0623;node_0719;node_0731;node_0897;node_0921;node_0941;node_0953;node_1125;node_1149;node_1157;node_1169,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C10H18,positive,1,138.14085058014,0.942,0.692,12,3,10,fragment;fragment_h_shift;recombination,node_0312,M | break 1 bond(s) | protonation,node_0312;node_0332;node_0352;node_0372;node_0896;node_0920;node_0940;node_0952;node_1124;node_1148;node_1156;node_1168,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C9H14,negative,-1,122.10955045122,0.942,0.692,13,3,11,fragment;fragment_h_shift;recombination,node_0321,M | break 1 bond(s) | deprotonation,node_0321;node_0325;node_0339;node_0359;node_0363;node_0455;node_0563;node_0683;node_0695;node_0913;node_0949;node_1141;node_1165,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C9H16,positive,1,124.12520051568,0.942,0.692,8,3,6,fragment;fragment_h_shift;recombination,node_0320,M | break 1 bond(s) | protonation,node_0320;node_0324;node_0360;node_0364;node_0912;node_0948;node_1140;node_1164,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C7H9,positive,1,93.07042529007,0.9300000000000002,0.79,2,2,2,feature_rule;fragment_h_shift,node_0263,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C7H9,node_0263;node_0382,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C9H15,positive,1,123.11737548345,0.904,0.6540000000000001,12,3,11,fragment;fragment_h_shift;recombination,node_0318,M | break 1 bond(s) | electron_loss,node_0318;node_0322;node_0340;node_0380;node_0456;node_0564;node_0684;node_0696;node_0910;node_0946;node_1138;node_1162,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C9H15,negative,-1,123.11737548345,0.904,0.6540000000000001,7,3,7,fragment;fragment_h_shift;recombination,node_0319,M | break 1 bond(s) | electron_gain,node_0319;node_0323;node_0381;node_0911;node_0947;node_1139;node_1163,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C9H13,negative,-1,121.10172541899,0.8939999999999999,0.6439999999999999,8,3,7,fragment;fragment_h_shift;recombination,node_0341,M | break 2 bond(s) | deprotonation,node_0341;node_0379;node_0457;node_0565;node_0685;node_0697;node_0907;node_1135,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C2H4,negative,-1,28.03130012892,0.882,0.692,4,2,2,fragment;fragment_h_shift,node_0317,M | break 1 bond(s) | deprotonation,node_0317;node_0329;node_0355;node_0367,structural_candidate_only,0.1
