material,spectrum_id,ion_mode,mz,intensity,category,reason,parent_elements
COC,COC_+COC-All,positive,27.022885119839604,111.01443703651243,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_+COC-All,positive,39.022737057096016,344.3228149691936,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_+COC-All,positive,77.0365477216115,128.4744493793187,small_fragment,"m/z 77.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_+COC-All,positive,79.05456829836636,139.6507592849266,small_fragment,"m/z 79.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_+COC-All,positive,91.05309981481626,230.073955667068,small_fragment,"m/z 91.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_-COC-All,negative,25.008753529586045,476.6108241483043,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
COC,COC_-COC-All,negative,49.0082188787225,57.60680188914051,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment",['C']
ETFE,ETFE_+ETFE-1,positive,27.02364821547256,660.3982203427162,small_fragment,"m/z 27.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_+ETFE-1,positive,39.02420801274103,1290.3043918770095,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_+ETFE-1,positive,57.01448800180107,1545.7556935817806,small_fragment,"m/z 57.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_+ETFE-1,positive,75.0045072373252,1146.4274701554998,small_fragment,"m/z 75.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_+ETFE-1,positive,77.02355038498834,3435.623981322409,small_fragment,"m/z 77.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,25.00771147771517,111.98389263001248,small_fragment,"m/z 25.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,39.0086891426647,1073.408332592388,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,42.99826788883917,64.32161391916365,small_fragment,"m/z 43.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,48.00013907375432,80.98024717933839,small_fragment,"m/z 48.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,49.00785075912203,62.89455335039847,small_fragment,"m/z 49.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,66.99839518340902,25.3515590268191,small_fragment,"m/z 67.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
ETFE,ETFE_-ETFE-1,negative,71.99967832121695,60.57297686846896,small_fragment,"m/z 72.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'F']"
EVA,EVA_+EVA-All,positive,39.021360635304575,309.5169138090825,small_fragment,"m/z 39.0 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
EVA,EVA_+EVA-All,positive,67.05489320749265,530.2537071362373,small_fragment,"m/z 67.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
EVA,EVA_+EVA-All,positive,91.05207734236178,615.908827618165,small_fragment,"m/z 91.1 in 25-100 range — small fragment, could be hydrocarbon, oxygenated, or functional group fragment","['C', 'O']"
