material,total_missing,small_fragment,small_fragment_pct,medium_fragment,medium_fragment_pct,large_fragment,large_fragment_pct,high_mass_unknown,high_mass_unknown_pct,low_mass_background,low_mass_background_pct,top5_mz
COC,7,7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"25.01, 39.02, 91.05, 79.05, 77.04"
ETFE,12,12,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"77.02, 57.01, 39.02, 75.00, 39.01"
EVA,5,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"25.01, 91.05, 67.05, 39.02, 49.00"
FEP,13,10,76.9,3,23.1,0,0.0,0,0.0,0,0.0,"93.00, 74.00, 116.99, 38.00, 284.80"
Nomex,10,10,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"41.04, 26.01, 39.02, 27.02, 43.05"
PEEK,11,11,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"41.04, 25.01, 39.02, 43.05, 55.05"
PEI,11,11,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"55.06, 29.04, 27.02, 39.02, 25.01"
PEN,9,9,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"41.04, 25.01, 39.02, 43.05, 49.01"
PFA,11,7,63.6,4,36.4,0,0.0,0,0.0,0,0.0,"93.00, 184.99, 74.00, 38.00, 118.99"
PI,14,12,85.7,1,7.1,1,7.1,0,0.0,0,0.0,"26.01, 25.01, 50.00, 291.81, 49.01"
POMC,15,15,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"45.00, 44.03, 89.02, 73.03, 25.01"
POMH,15,13,86.7,2,13.3,0,0.0,0,0.0,0,0.0,"44.03, 45.00, 89.02, 73.03, 29.00"
PPS,14,11,78.6,2,14.3,1,7.1,0,0.0,0,0.0,"25.01, 139.98, 56.98, 49.01, 80.98"
PTFE,3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,"93.00, 38.00, 43.00"
PVDF,16,14,87.5,2,12.5,0,0.0,0,0.0,0,0.0,"113.00, 133.01, 69.00, 95.01, 39.01"
