spectrum_id,match_rows
COC_neg_COCneg_All,2549
COC_neg_COCneg_peak_list,797
COC_pos_COCneg_All,1988
COC_pos_COCneg_peak_list,706
ETFE_neg_ETFEneg_1,1712
ETFE_pos_ETFEneg_1,4894
EVA_neg_EVAneg_1neg_All,2072
EVA_neg_EVAneg_2neg_peak_list,604
EVA_pos_EVAneg_All,2593
EVA_pos_EVAneg_peak_list,480
FEP_neg_FEPneg_1,2767
FEP_pos_FEPneg_1,4320
Nomex_neg_Nomexneg_1,2656
Nomex_pos_Nomexneg_1,2727
PDMS_neg_PDMS,912
PDMS_pos_PDMS,920
PEEK20%GFR_neg_PEEK20%GFRneg_1,2094
PEEK20%GFR_pos_PEEK20%GFRneg_1,2105
PEEK_neg_PEEKneg_1,2869
PEEK_pos_PEEKneg_1,2822
PEI_neg_PEIneg_1,2527
PEI_pos_PEIneg_1,3423
PEN_neg_PENneg_1,2732
PEN_pos_PENneg_1,2806
PET_neg_PETneg_All_purpose_Negativeneg_1neg_peak_list,3223
PET_pos_PETneg_All_purpose_Positiveneg_1neg_peak_list,3126
PFA_neg_PFAneg_1,2525
PFA_pos_PFAneg_1,4670
PI_neg_PIneg_1,3280
PI_pos_PIneg_1,1670
POMC_POMCneg_1neg_Peak,739
POMC_neg_POMCneg_1neg_All,3623
POMC_pos_POMCneg_1neg_All,5548
POMC_pos_POMCneg_2neg_Peak,771
POMH_neg_POMHneg_1neg_All,4099
POMH_neg_POMHneg_1neg_Peak,871
POMH_pos_POMHneg_1neg_All,6078
POMH_pos_POMHneg_1neg_Peak,839
PPS40%GFR_neg_PPS40%GFRneg_1,2548
PPS40%GFR_pos_PPS40%GFRneg_1,2490
PPS_neg_PPSneg_1,2001
PPS_pos_PPSneg_1,972
PTFE_neg_PTFEneg_1,1974
PTFE_pos_PTFEneg_1,4031
PVDF_neg_PVDFneg_1,2106
PVDF_pos_PVDFneg_1,4441
