compound_id,name,status,records,message
STD001,Toluene,built,93,
PTFE,Polytetrafluoroethylene,built,2423,
PVDF,Polyvinylidene Fluoride,built,2977,
ETFE,Ethylene-TFE copolymer,built,7786,
FEP,Fluorinated Ethylene Propylene,built,1507,
PFA,Perfluoroalkoxy Alkane,built,1507,
PEEK,Polyether Ether Ketone,built,4935,
PEEK20%GFR,PEEK+20%GlassFiber,built,4935,
PEI,Polyetherimide (Ultem),built,3985,
PEN,Polyethylene Naphthalate,built,8941,
PET,Polyethylene Terephthalate,built,13040,
PPS,Polyphenylene Sulfide,built,1797,
PPS40%GFR,PPS+40%GlassFiber,built,1797,
PI,Polyimide (Kapton),built,5050,
PDMS,Polydimethylsiloxane,built,15027,
COC,Cyclic Olefin Copolymer,built,3588,
EVA,Ethylene-Vinyl Acetate,built,10471,
Nomex,meta-Aramid,built,8021,
POMC,Polyoxymethylene Copolymer,built,3162,
POMH,Polyoxymethylene Homopolymer,built,3162,
