compound_id,name,status,nodes,edges,unique_ion_formulas,message
STD001,Toluene,built,46,45,37,
PTFE,Polytetrafluoroethylene,built,4614,5522,100,
PVDF,Polyvinylidene Fluoride,built,485,559,101,
ETFE,Ethylene-TFE copolymer,built,10081,12026,379,
FEP,Fluorinated Ethylene Propylene,built,763,762,59,
PFA,Perfluoroalkoxy Alkane,built,763,762,59,
PEEK,Polyether Ether Ketone,built,6854,8159,495,
PEI,Polyetherimide (Ultem),built,21812,26066,1167,
PEN,Polyethylene Naphthalate,built,25675,30674,1114,
PET,Polyethylene Terephthalate,built,25675,30674,1112,
PPS,Polyphenylene Sulfide,built,328,372,76,
PI,Polyimide (Kapton),built,4365,5174,753,
PDMS,Polydimethylsiloxane,built,1850,2139,144,
COC,Cyclic Olefin Copolymer,built,1289,1513,155,
EVA,Ethylene-Vinyl Acetate,built,5427,6451,386,
Nomex,meta-Aramid,built,7233,8610,632,
POMC,Polyoxymethylene Copolymer,built,59,58,38,
POMH,Polyoxymethylene Homopolymer,built,59,58,38,
