spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,22.989191764119713,151.27525469684247,14,contaminant,Na+,False,False,,,,
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,27.022885119839604,111.01443703651245,11,low_mass_feature,C2H3+,True,True,C2H3,-0.0005899768503958569,-21.83201265880571,0.6580000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,39.022737057096016,344.3228149691936,27,structural_candidate,,True,True,C3H3,-0.0007380395939833306,-18.9127081110706,0.6580000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,41.03984321800392,824.0006879596937,43,structural_candidate,,True,True,C3H5,0.0007180568539197907,17.49688501156318,0.8800000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,55.055534603920236,143.43656101089607,14,structural_candidate,,True,True,C4H7,0.0007593783102350926,13.793141596223432,0.8800000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,67.05610930503828,779.3399633762633,47,structural_candidate,,True,True,C5H7,0.0013340794282754587,19.895367985156383,0.8800000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,77.0365477216115,128.4744493793187,13,structural_candidate,,True,True,C6H5,-0.0025774395384985382,-33.45624100879995,0.6580000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,79.05456829836636,139.6507592849266,14,structural_candidate,,True,True,C6H7,-0.0002069272436386882,-2.6175173232502416,0.6580000000000001
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,91.05309981481626,230.073955667068,22,structural_candidate,,True,False,,,,
COC_+COC-All,COC,data/COC/+COC-All.TXT,positive,132.90458541685678,5234.284673674413,95,contaminant,Cs+,False,False,,,,
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,1.0086972727382977,2133.4090259618547,70,low_mass_background,below_min_main_mz,False,False,,,,
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,12.000344482628577,51.168882647746585,28,low_mass_background,below_min_main_mz,False,False,,,,
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,13.008340392350082,195.35811626756472,54,low_mass_background,below_min_main_mz,False,False,,,,
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,24.00025087389415,138.91528059021815,45,low_mass_background,below_min_main_mz,False,False,,,,
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,25.008753529586045,476.6108241483043,72,structural_candidate,,True,True,C2H,0.0009284973560461651,37.128273044517904,0.6580000000000001
COC_-COC-All,COC,data/COC/-COC-All.TXT,negative,49.0082188787225,57.60680188914051,31,structural_candidate,,True,True,C4H,0.00039384649249996073,8.036400151219679,0.6580000000000001
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,27.02364821547256,660.3982203427162,16,low_mass_feature,C2H3+,True,True,C2H3,0.00017311878255910074,6.406236871449053,0.6580000000000001
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,30.99900987094016,1754.2399013259328,30,low_mass_feature,CF+,True,True,CF,0.0006067082101601784,19.572240769151485,0.99
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,39.02420801274103,1290.3043918770097,26,structural_candidate,,True,True,C3H3,0.0007329160510280985,18.781414243916608,0.6580000000000001
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,51.01189029486277,3019.930840051099,68,structural_candidate,,True,True,CHF2,0.007258937172771596,142.319177289322,1.0
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,57.01448800180107,1545.7556935817806,29,structural_candidate,,True,False,,,,
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,68.99585945020432,965.8869653319238,25,structural_candidate,,True,True,CF3,0.0006499620143216589,9.420393374309759,0.79
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,75.0045072373252,1146.4274701554998,28,structural_candidate,,True,False,,,,
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,77.02355038498834,3435.623981322409,48,structural_candidate,,True,True,C3H3F2,0.0032689628383337777,42.44288358823975,0.79
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,81.011459,32.00740055504163,1,structural_candidate,,True,True,C2F3,0.01624951181000256,200.62312219060212,1.0
ETFE_+ETFE-1,ETFE,data/ETFE/+ETFE-1.txt,positive,95.01145489824106,1225.0275318267918,29,structural_candidate,,True,True,C3H2F3,0.0005953455910514549,6.266079412970112,1.0
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,1.0083216305391076,392.78678091262617,33,low_mass_background,below_min_main_mz,False,False,,,,
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,19.000621596285665,2156.805855183419,52,low_mass_feature,F-,True,True,F,0.0022184335556652,116.76947460601312,0.96
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,23.99960543293204,38.90992133501177,14,low_mass_background,below_min_main_mz,False,False,,,,
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,25.007711477715166,111.98389263001249,28,structural_candidate,,True,True,C2H,-0.00011355451483296974,-4.540759329794618,0.6580000000000001
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,39.0086891426647,1073.408332592388,71,structural_candidate,,True,False,,,,
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,42.99826788883917,64.32161391916365,22,structural_candidate,,True,False,,,,
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,48.00013907375432,80.98024717933839,26,structural_candidate,,True,True,C4,0.00013907375431898572,2.897369881645536,0.6580000000000001
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,49.00785075912203,62.89455335039847,22,structural_candidate,,True,True,C4H,2.5726892026511905e-05,0.5249547803762483,0.6580000000000001
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,66.99839518340902,25.3515590268191,10,structural_candidate,,True,False,,,,
ETFE_-ETFE-1,ETFE,data/ETFE/-ETFE-1.txt,negative,71.99967832121695,60.572976868468956,22,structural_candidate,,True,False,,,,
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,27.022404143145625,415.9204124189064,14,low_mass_feature,C2H3+,True,True,C2H3,-0.0010709535443744755,-39.63048943715061,0.7980000000000003
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,29.038936084070677,1063.1487488415198,29,low_mass_feature,C2H5+,True,True,C2H5,-0.0001890770793231411,-6.5111148587939525,0.908
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,39.021360635304575,309.5169138090825,11,structural_candidate,,True,True,C3H3,-0.002114461385424704,-54.1843436594414,0.6580000000000001
