spectrum_id,material,ion_mode,source_file,raw_peaks_after_preprocess,centroid_peaks,included_peaks,excluded_peaks,matched_included_peaks,network_recall,top_n,top_n_included_peaks,top_n_matched_peaks,top_n_peak_hit_rate,top_n_network_candidates,top_n_network_matched_candidates,top_n_network_precision_proxy,contaminant_peaks,low_mass_background_peaks,low_mass_feature_peaks,message
COC_+COC-All,COC,positive,data/COC/+COC-All.TXT,300,10,8,2,7,0.875,50,8,7,0.875,50,7,0.14,2,0,1,
COC_-COC-All,COC,negative,data/COC/-COC-All.TXT,300,6,5,1,3,0.6,50,5,3,0.6,50,3,0.06,0,1,0,
ETFE_+ETFE-1,ETFE,positive,data/ETFE/+ETFE-1.txt,300,10,10,0,8,0.8,50,10,8,0.8,50,6,0.12,0,0,2,
ETFE_-ETFE-1,ETFE,negative,data/ETFE/-ETFE-1.txt,300,10,9,1,5,0.5555555555555556,50,9,5,0.5555555555555556,50,1,0.02,0,1,1,
EVA_+EVA-All,EVA,positive,data/EVA/+EVA-All.TXT,300,11,11,0,10,0.9090909090909091,50,11,10,0.9090909090909091,50,8,0.16,0,0,2,
EVA_-EVA-1-All,EVA,negative,data/EVA/-EVA-1-All.TXT,300,5,3,2,2,0.6666666666666666,50,3,2,0.6666666666666666,50,0,0.0,1,1,0,
FEP_+FEP-1,FEP,positive,data/FEP/+FEP-1.txt,300,11,10,1,6,0.6,50,10,6,0.6,32,6,0.1875,1,0,1,
FEP_-FEP-1,FEP,negative,data/FEP/-FEP-1.txt,300,12,12,0,5,0.4166666666666667,50,12,5,0.4166666666666667,27,5,0.18518518518518517,0,0,1,
Nomex_+Nomex-1,Nomex,positive,data/Nomex/+Nomex-1.txt,300,9,7,2,7,1.0,50,7,7,1.0,50,1,0.02,2,0,2,
Nomex_-Nomex-1,Nomex,negative,data/Nomex/-Nomex-1.txt,300,8,6,2,4,0.6666666666666666,50,6,4,0.6666666666666666,50,1,0.02,1,1,1,
PDMS_+Grease-ping-floodgun-hd-Seach Peak,PDMS,positive,data/PDMS/+Grease-ping-floodgun-hd-Seach Peak.TXT,300,290,287,3,46,0.1602787456445993,50,50,18,0.36,50,37,0.74,1,2,3,
PDMS_-Grease-floodgun-hd-Seach Peak,PDMS,negative,data/PDMS/-Grease-floodgun-hd-Seach Peak.TXT,300,276,271,5,49,0.18081180811808117,50,50,21,0.42,50,37,0.74,3,2,2,
PEEK_+PEEK-1,PEEK,positive,data/PEEK/+PEEK-1.txt,300,11,8,3,8,1.0,50,8,8,1.0,50,1,0.02,3,0,2,
PEEK_-PEEK-1,PEEK,negative,data/PEEK/-PEEK-1.txt,300,10,7,3,5,0.7142857142857143,50,7,5,0.7142857142857143,50,2,0.04,2,1,0,
PEI_+PEI-1,PEI,positive,data/PEI/+PEI-1.txt,300,11,10,1,10,1.0,50,10,10,1.0,50,3,0.06,1,0,2,
PEI_-PEI-1,PEI,negative,data/PEI/-PEI-1.txt,300,9,6,3,3,0.5,50,6,3,0.5,50,0,0.0,2,1,1,
PEN_+PEN-1,PEN,positive,data/PEN/+PEN-1.txt,300,14,11,3,11,1.0,50,11,11,1.0,50,3,0.06,3,0,2,
PEN_-PEN-1,PEN,negative,data/PEN/-PEN-1.txt,300,13,10,3,7,0.7,50,10,7,0.7,50,2,0.04,2,1,0,
PET_PET-All purpose Negative-1-Searce peak,PET,positive,data/PET/PET-All purpose Negative-1-Searce peak.TXT,300,279,275,4,129,0.4690909090909091,50,50,25,0.5,50,43,0.86,3,1,2,
PET_PET-All purpose Positive-1-searce peak,PET,positive,data/PET/PET-All purpose Positive-1-searce peak.TXT,300,285,278,7,150,0.539568345323741,50,50,37,0.74,50,45,0.9,6,1,3,
PFA_+PFA-1,PFA,positive,data/PFA/+PFA-1.txt,300,11,11,0,8,0.7272727272727273,50,11,8,0.7272727272727273,32,8,0.25,0,0,1,
PFA_-PFA-1,PFA,negative,data/PFA/-PFA-1.txt,300,11,11,0,4,0.36363636363636365,50,11,4,0.36363636363636365,27,4,0.14814814814814814,0,0,1,
PI_+PI-1,PI,positive,data/PI/+PI-1.txt,300,10,9,1,7,0.7777777777777778,50,9,7,0.7777777777777778,50,1,0.02,1,0,2,
PI_-PI-1,PI,negative,data/PI/-PI-1.txt,300,12,9,3,7,0.7777777777777778,50,9,7,0.7777777777777778,50,3,0.06,2,1,1,
POMC_+POMC-1-All,POMC,positive,data/POMC/+POMC-1-All.TXT,300,11,10,1,8,0.8,50,10,8,0.8,23,8,0.34782608695652173,1,0,1,
POMC_-POMC-1-All,POMC,negative,data/POMC/-POMC-1-All.TXT,300,14,11,3,7,0.6363636363636364,50,11,7,0.6363636363636364,15,7,0.4666666666666667,2,1,1,
POMH_+POMH-1-All,POMH,positive,data/POMH/+POMH-1-All.TXT,300,13,13,0,10,0.7692307692307693,50,13,10,0.7692307692307693,23,10,0.43478260869565216,0,0,1,
POMH_-POMH-1-All,POMH,negative,data/POMH/-POMH-1-All.TXT,300,13,10,3,7,0.7,50,10,7,0.7,15,7,0.4666666666666667,2,1,0,
PPS_+PPS-1,PPS,positive,data/PPS/+PPS-1.txt,300,11,7,4,5,0.7142857142857143,50,7,5,0.7142857142857143,42,5,0.11904761904761904,4,0,2,
PPS_-PPS-1,PPS,negative,data/PPS/-PPS-1.txt,300,12,11,1,7,0.6363636363636364,50,11,7,0.6363636363636364,34,7,0.20588235294117646,0,1,0,
PTFE_+PTFE-1,PTFE,positive,data/PTFE/+PTFE-1.txt,300,7,6,1,5,0.8333333333333334,50,6,5,0.8333333333333334,50,5,0.1,1,0,1,
PTFE_-PTFE-1,PTFE,negative,data/PTFE/-PTFE-1.txt,300,6,5,1,3,0.6,50,5,3,0.6,43,3,0.06976744186046512,0,1,1,
PVDF_+PVDF-1,PVDF,positive,data/PVDF/+PVDF-1.txt,300,12,12,0,8,0.6666666666666666,50,12,8,0.6666666666666666,50,8,0.16,0,0,1,
PVDF_-PVDF-1,PVDF,negative,data/PVDF/-PVDF-1.txt,300,15,13,2,4,0.3076923076923077,50,13,4,0.3076923076923077,48,4,0.08333333333333333,1,1,1,
