compound_id,pom_pattern_score,pom_pattern_members,pom_pattern_completeness,pom_oc_ratio_members,pom_has_aromatic_contamination,pom_density
COC,0.0,,0.0,0,False,0.0
ETFE,0.0,,0.0,0,False,0.0
EVA,0.13,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.013
FEP,0.0,,0.0,0,False,0.0
Nomex,0.024,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.0079
PDMS,0.156,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.0521
PEEK,0.101,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.0101
PEI,0.048,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.0048
PEN,0.126,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_n3;POM_n4a;POM_n4;POM_n5a;POM_n5;POM_neg_n2;POM_neg_n2b;POM_neg_n3;POM_neg_n3b;POM_neg_n4,1.0,14,False,0.0126
PET,0.126,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_n3;POM_n4a;POM_n4;POM_n5a;POM_n5;POM_neg_n2;POM_neg_n2b;POM_neg_n3;POM_neg_n3b;POM_neg_n4,1.0,14,False,0.0126
PFA,0.0,,0.0,0,False,0.0
PI,0.024,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_neg_n2,0.357,5,False,0.008
POMC,1.0,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_n3;POM_neg_n2;POM_neg_n2b;POM_neg_n3,0.571,8,False,0.2105
POMH,1.0,POM_n1;POM_n2a;POM_n2;POM_n3a;POM_n3;POM_neg_n2;POM_neg_n2b;POM_neg_n3,0.571,8,False,0.2105
PPS,0.0,,0.0,0,False,0.0
PTFE,0.0,,0.0,0,False,0.0
PVDF,0.0,,0.0,0,False,0.0
STD001,0.0,,0.0,0,False,0.0
