material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
ETFE,766,234.9983,18718.89,+,positive,221,C₂H₃Pb⁺,C2H3Pb,,234.999578,5.4,42,mols[0]
ETFE,847,263.029,5654.06,+,positive,364,C₄H₇Pb⁺,C4H7Pb,,263.030878,7.1,43,mols[0]
ETFE,909,285.0028,6890.78,+,positive,333,C₂H₅O₃Pb⁺,C2H5O3Pb,,284.999973,-9.9,45,mols[0]
FEP,508,204.9795,176153.68,+,positive,34,Tl⁺,Tl,,204.973878,-27.4,80,mols[0]
FEP,513,207.979,2735.41,+,positive,348,Pb⁺,Pb,,207.976103,-13.9,73,mols[0]
FEP,514,208.9722,11117.9,+,positive,181,Bi⁺,Bi,,208.97985,36.6,73,mols[0]
FEP,551,226.9761,6233.17,+,positive,250,FPb⁺,FPb,,226.974506,-7.0,73,mols[0]
FEP,568,234.9883,3769.53,+,positive,303,CH₂OTl⁺,CH2OTl,,234.984443,-16.4,49,mols[0]
FEP,575,238.9807,2268.28,+,positive,374,H₂O₂Tl⁺,H2O2Tl,,238.979358,-5.6,49,mols[0]
FEP,590,246.9675,10420.74,+,positive,190,CHHgO₂⁺,CHHgO2,,246.967749,1.0,48,mols[0]
FEP,606,255.9877,5940.31,+,positive,253,H₃O₃Tl⁺,H3O3Tl,,255.982098,-21.9,36,mols[0]
FEP,609,258.984,2527.29,+,positive,357,C₃H₂OTl⁺,C3H2OTl,,258.984443,1.7,46,mols[0]
FEP,618,264.9697,9196.45,+,positive,201,CHF₃Pt⁺,CHF3Pt,,264.967276,-9.1,50,mols[0]
FEP,625,268.9878,13641.14,+,positive,164,C₂H₅ClTl⁺,C2H5ClTl,,268.981856,-22.1,51,mols[0]
FEP,659,288.9691,3845.97,+,positive,300,C₂H₆O₂PtS⁺,C2H6O2PtS,,288.973093,13.8,45,mols[0]
FEP,665,291.9801,3759.89,+,positive,304,C₄H₄ClTl⁺,C4H4ClTl,,291.974031,-20.8,35,mols[0]
FEP,679,301.9695,1075.5,+,positive,446,CH₂O₅Pb⁺,CH2O5Pb,,301.966328,-10.5,35,mols[0]
FEP,690,307.9747,1556.95,+,positive,409,C₃H₃O₄Tl⁺,C3H3O4Tl,,307.977013,7.5,37,mols[0]
FEP,717,322.9821,2586.54,+,positive,355,C₄H₂BiO₄⁺,C4H2BiO4,,322.97516,-21.5,42,mols[0]
FEP,733,333.9698,2249.13,+,positive,377,CHF₃HgNO₃⁺,CHF3HgNO3,,333.960947,-26.5,39,mols[0]
FEP,739,339.9719,1006.31,+,positive,450,C₃H₃O₆Tl⁺,C3H3O6Tl,,339.966843,-14.9,43,mols[0]
FEP,757,352.9619,5203.58,+,positive,267,C₄H₄O₆Tl⁺,C4H4O6Tl,,352.974668,36.2,41,mols[0]
FEP,779,372.9683,876.06,+,positive,460,C₆H₈Cl₂N₂Pt⁺,C6H8Cl2N2Pt,,372.970696,6.4,34,mols[0]
