material,network_screen_rank,network_screen_score,support_class,interpretation_cn,peak_index,rank,mz,intensity,relative_intensity,polarity,rf_formula_raw,normalized_formula,rf_score,rf_ppm,same_material_mode_match,same_material_formula_match,generation_types,network_formula_modes,specificity_compound_count,all_network_compounds,formula_all_network_compounds
ETFE,1,103.903,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,227,19,78.998,318726.22,0.005067396718564864,-,C₂HF₂O⁻,C2HF2O,100,26.5,True,True,adduct,negative,1,ETFE,ETFE
ETFE,2,102.308,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,143,15,59.03,412378.11,0.006556358875720926,+,C₃H₄F⁺,C3H4F,87,-14.3,True,True,adduct,negative; neutral; positive,1,ETFE,ETFE
ETFE,3,101.371,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,153,56,61.9963,56078.27,0.0008915828806955212,-,C₂F₂⁻,C2F2,100,17.0,True,True,adduct,negative; neutral,1,ETFE,ETFE; PTFE; PVDF
ETFE,4,100.406,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,281,26,92.9956,198809.73,0.0031608562779076245,-,C₃F₃⁻,C3F3,100,1.7,True,True,adduct,negative; neutral,2,ETFE; PVDF,ETFE; PVDF
ETFE,5,100.348,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,301,27,97.9973,191757.8,0.0030487383387510997,-,C₂HF₃O⁻,C2HF3O,100,12.2,True,True,adduct,negative,2,ETFE; PTFE,ETFE; PTFE
ETFE,6,99.513,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,349,36,109.9986,102070.47,0.0016228083297959404,-,C₃HF₃O⁻,C3HF3O,100,-0.9,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
ETFE,7,99.008,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,234,46,80.9953,75464.52,0.0011998029563305855,-,C₂F₃⁻,C2F3,100,5.7,True,True,adduct,negative; neutral,2,ETFE; PTFE,ETFE; FEP; PFA; PTFE; PVDF
ETFE,8,98.946,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,413,48,128.9942,73828.37,0.001173789968942601,-,C₃HF₄O⁻,C3HF4O,100,20.9,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
ETFE,9,98.19,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,353,60,111.0042,43554.76,0.0006924728310770298,-,C₃H₂F₃O⁻,C3H2F3O,100,19.1,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
ETFE,10,97.508,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,306,74,99.0044,28110.44,0.00044692511150608977,-,C₂H₂F₃O⁻,C2H2F3O,100,19.4,True,True,adduct,negative,2,ETFE; PTFE,ETFE; PTFE
FEP,1,100.763,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,151,2,69.0002,3051644.88,0.04033458251678444,-,CF₃⁻,CF3,100,-64.4,True,True,adduct,negative; neutral,3,FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
FEP,2,95.163,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,509,50,204.9806,35076.24,0.000463614067918196,-,C₃HClF₇⁻,C3HClF7,100,-71.0,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
FEP,3,95.074,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,200,53,84.9957,33931.82,0.0004484878967092255,-,CF₃O⁻,CF3O,100,-59.1,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
FEP,4,94.209,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,427,72,170.0001,18997.19,0.0002510920365157404,-,C₃HF₇⁻,C3HF7,100,-17.1,True,True,adduct,negative; neutral; positive,3,FEP; PFA; PTFE,FEP; PFA; PTFE
FEP,5,92.736,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,153,55,70.002,32165.31,0.00042513935971899585,-,¹³CF₃⁻,CF3,85,22.2,True,True,adduct,negative; neutral,3,FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
FEP,6,91.754,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,252,63,99.9946,25033.73,0.0003308789482699908,-,C₂F₄⁻,C2F4,100,-4.4,True,True,adduct,negative; neutral,4,ETFE; FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE; PVDF
FEP,7,90.348,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,86,39,50.0016,72104.48,0.0009530283544623428,-,CF₂⁻,CF2,100,-84.9,True,True,adduct,negative; neutral,5,ETFE; FEP; PFA; PTFE; PVDF,ETFE; FEP; PFA; PTFE; PVDF
FEP,8,89.594,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,419,243,165.9903,1269.44,1.677860119494207e-05,-,C₃F₆O⁻,C3F6O,100,-26.6,True,True,adduct,negative,3,FEP; PFA; PTFE,FEP; PFA; PTFE
FEP,9,88.68,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,143,10,67.0019,411516.0,0.0054391407623344,-,CHF₂O⁻,CHF2O,73,-26.9,True,True,adduct,negative,5,ETFE; FEP; PFA; PTFE; PVDF,ETFE; FEP; PFA; PTFE; PVDF
FEP,10,87.571,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,89,42,51.0028,149008.08,0.0019694882382342003,+,CHF₂⁺,CHF2,77,25.1,True,True,adduct,negative; neutral; positive,5,ETFE; FEP; PFA; PTFE; PVDF,ETFE; FEP; PFA; PTFE; PVDF
Nomex,1,106.673,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,94,3,42.0002,2303986.71,0.049229135746948025,-,CNO⁻,CNO,100,-39.6,True,True,adduct,negative; neutral,1,Nomex,Nomex
Nomex,2,99.851,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,301,37,90.0269,92333.64,0.001972886943245358,-,C₆H₄N⁻,C6H4N,82,89.1,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,3,95.823,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,309,42,92.05,89820.66,0.0019191922613218827,+,C₆H₆N⁺,C6H6N,56,-5.7,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,4,95.212,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,308,132,92.0422,15788.54,0.00033735271802245716,-,C₆H₆N⁻,C6H6N,75,91.0,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,5,94.573,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,302,50,90.0386,74622.6,0.0015944562914558668,+,C₆H₄N⁺,C6H4N,50,-53.0,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,6,94.483,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,104,209,44.012,7776.33,0.00016615634262190008,-,CH₂NO⁻,CH2NO,84,49.7,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,7,94.139,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,313,58,93.0575,66096.5,0.0014122796614995015,+,C₆H₇N⁺,C6H7N,49,-2.1,True,True,adduct,neutral; positive,1,Nomex,Nomex
Nomex,8,93.762,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,162,188,57.9988,8474.24,0.00018106854067409823,-,CNO₂⁻,CNO2,76,-92.2,True,True,adduct,negative,1,Nomex,Nomex
Nomex,9,93.328,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,105,108,44.0146,32077.73,0.0006854027923728548,+,CH₂NO⁺,CH2NO,55,-34.3,True,True,adduct,negative; neutral; positive,1,Nomex,Nomex
Nomex,10,92.432,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,315,129,94.0612,26574.79,0.0005678218275645509,+,C₆H₈N⁺,C6H8N,53,41.7,True,True,adduct,neutral; positive,1,Nomex,Nomex
PEEK,1,90.305,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,947,156,289.0847,19676.28,0.0004403453483099136,+,C₁₉H₁₃O₃⁺,C19H13O3,63,4.2,True,True,adduct,negative; neutral; positive,2,PEEK; PEEK20%GFR,PEEK; PEEK20%GFR
PEEK,2,89.5,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,946,172,289.0831,10990.57,0.00024596348368566046,-,C₁₉H₁₃O₃⁻,C19H13O3,63,13.6,True,True,adduct,negative; neutral; positive,2,PEEK; PEEK20%GFR,PEEK; PEEK20%GFR
PEEK,3,88.824,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,985,218,305.0777,6668.65,0.00014924106624864585,-,C₁₉H₁₃O₄⁻,C19H13O4,67,13.9,True,True,adduct,negative; neutral; positive,2,PEEK; PEEK20%GFR,PEEK; PEEK20%GFR
PEEK,4,87.724,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,454,22,121.0311,165400.54,0.0037015817215930963,+,C₇H₅O₂⁺,C7H5O2,90,-22.3,True,True,adduct,negative; neutral; positive,6,EVA; PEEK; PEEK20%GFR; PET; POMC; POMH,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; POMC; POMH
PEEK,5,86.896,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,986,416,305.0827,3461.65,7.74700032209855e-05,+,C₁₉H₁₃O₄⁺,C19H13O4,83,-6.1,True,True,adduct,negative; neutral; positive,2,PEEK; PEEK20%GFR,PEEK; PEEK20%GFR
PEEK,6,85.56,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,391,34,105.034,96279.1,0.00215467831442046,+,C₇H₅O⁺,C7H5O,100,-4.8,True,True,adduct,negative; neutral; positive,7,EVA; Nomex; PEEK; PEEK20%GFR; PET; POMC; POMH,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; POMC; POMH
PEEK,7,85.432,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,1016,461,317.0781,2675.93,5.988598088169853e-05,+,C₂₀H₁₃O₄⁺,C20H13O4,80,8.6,True,True,adduct,negative; neutral; positive,2,PEEK; PEEK20%GFR,PEEK; PEEK20%GFR
PEEK,8,85.288,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,239,5,73.0081,634456.48,0.014198820085558944,-,C₆H⁻,C6H,100,3.8,True,True,adduct,negative; neutral,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PEEK,9,85.235,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,52,127,29.0015,25336.23,0.0005670122108554098,+,CHO⁺,CHO,100,23.8,True,True,adduct,negative; neutral; positive,6,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH
PEEK,10,85.198,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,388,32,104.0272,100843.65,0.0022568306704363337,+,C₇H₄O⁺,C7H4O,97,-14.7,True,True,adduct,negative; neutral; positive,7,EVA; Nomex; PEEK; PEEK20%GFR; PET; POMC; POMH,EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; POMC; POMH
PEI,1,98.168,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,543,43,139.0502,91307.32,0.001855798717123385,+,C₉H₈Na⁺,C9H8Na,72,11.7,True,True,adduct,positive,1,PEI,PEI
PEI,2,91.897,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,98,1,41.0396,1484180.8,0.030165608021560146,+,C₃H₅⁺,C3H5,100,-25.0,True,True,adduct,negative; neutral; positive,6,COC; EVA; PEI; PET; POMC; POMH,COC; ETFE; EVA; PEI; PET; POMC; POMH
PEI,3,91.147,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,110,3,43.0554,769823.1,0.015646464285579153,+,C₃H₇⁺,C3H7,100,-27.3,True,True,adduct,negative; neutral; positive,6,COC; EVA; PEI; PET; POMC; POMH,COC; EVA; PEI; PET; POMC; POMH
PEI,4,89.378,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,516,72,133.0688,34048.67,0.0006920308043841116,-,C₉H₉O⁻,C9H9O,100,-21.9,True,True,adduct,negative; neutral; positive,5,EVA; PEI; PET; POMC; POMH,EVA; PEI; PET; POMC; POMH
PEI,5,89.058,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,105,26,42.044,167781.88,0.0034101252523954235,+,C₃H₆⁺,C3H6,100,57.1,True,True,adduct,negative; neutral; positive,6,COC; EVA; PEI; PET; POMC; POMH,COC; ETFE; EVA; PEI; PET; POMC; POMH
PEI,6,87.814,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,172,119,57.0359,17005.68,0.00034563624392667315,-,C₃H₅O⁻,C3H5O,100,-23.0,True,True,adduct,negative,5,EVA; PEI; PET; POMC; POMH,EVA; PEI; PEN; PET; POMC; POMH
PEI,7,87.382,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,86,53,39.0235,55760.1,0.001133310254278317,-,C₃H₃⁻,C3H3,100,13.4,True,True,adduct,negative; neutral,6,COC; EVA; PEI; PET; POMC; POMH,COC; ETFE; EVA; PEI; PET; POMC; POMH
PEI,8,86.661,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,456,52,117.0609,75733.19,0.001539258373213249,+,C₉H₉⁺,C9H9,93,76.7,True,True,adduct,negative; neutral; positive,6,COC; EVA; PEI; PET; POMC; POMH,COC; EVA; PEI; PET; POMC; POMH
PEI,9,84.956,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,526,244,135.0842,10846.29,0.00022044816415100343,+,C₉H₁₁O⁺,C9H11O,100,-27.8,True,True,adduct,negative; neutral; positive,5,EVA; PEI; PET; POMC; POMH,EVA; PEI; PET; POMC; POMH
PEI,10,84.823,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,461,136,119.0892,21596.94,0.000438952468934481,+,C₉H₁₁⁺,C9H11,100,-30.9,True,True,adduct,negative; neutral; positive,6,COC; EVA; PEI; PET; POMC; POMH,COC; EVA; PEI; PET; POMC; POMH
PEN,1,98.939,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,759,94,243.0674,41133.13,0.0010163304788603582,+,C₁₄H₁₁O₄⁺,C14H11O4,88,-9.1,True,True,adduct,negative; neutral; positive,1,PEN,PEN
