material,candidate_rank,label,match_score,matched_count,missing_typical_count,matched_formulas
ETFE,1,EVA乙烯-醋酸乙烯,1.0,4,0,C₂H₃O₂⁻; C₂H₃O₂⁻; C₂H₃O⁺; C₃H₅⁺
ETFE,2,含氟碎片,0.75,3,1,F⁻; CF₂⁻; CF₃⁻
ETFE,3,聚乙烯/聚丙烯碎片,0.6666666666666666,4,2,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺
ETFE,4,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
ETFE,5,PVC含氯聚合物,0.6,3,2,³⁷Cl⁻; ³⁷Cl⁻; C₆H₅⁻
ETFE,6,PTFE聚四氟乙烯,0.5714285714285714,4,3,CF₂⁻; CF₃⁻; ¹³CCF₃⁻; C₂F₅⁻
ETFE,7,POM甲醛链,0.5,3,3,CHO⁺; CH₂O⁺; C₂H₃O⁺
ETFE,8,无机基准碎片,0.5,3,3,H⁻; O⁻; HO⁻
ETFE,9,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
ETFE,10,低碳含氧碎片,0.5,2,2,C₂H₃O⁺; C₂H₅O⁺
ETFE,11,Cs离子束残留,0.5,1,1,Cs⁺
ETFE,12,丙酮残留,0.5,1,1,C₂H₃O⁺
ETFE,13,含硫碎片,0.4,2,3,O₂S⁻; O₃S⁻
ETFE,14,碱金属离子,0.4,2,3,Na⁺; Cs⁺
ETFE,15,碳簇阴离子,0.4,2,3,C⁻; C₂⁻
ETFE,16,同位素卫星峰,0.4,2,3,C⁻; ³⁷Cl⁻
ETFE,17,含氮碎片,0.3333333333333333,2,4,C₃H₈N⁺; CNO⁻
ETFE,18,硅烷偶联剂,0.3333333333333333,1,2,C₃H₈N⁺
ETFE,19,PVA聚乙烯醇,0.3333333333333333,1,2,C₂H₃O⁺
ETFE,20,样品台胶带残留,0.3333333333333333,1,2,C⁻
FEP,1,含氟碎片,1.0,4,0,F⁻; ¹³CF⁻; ¹³CF₂⁻; ¹³CF₃⁻
FEP,2,EVA乙烯-醋酸乙烯,1.0,4,0,C₂H₃O₂⁻; C₂H₃O₂⁻; C₂H₃O⁺; C₃H₅⁺
FEP,3,PTFE聚四氟乙烯,0.8571428571428571,6,1,¹³CF⁻; ¹³CF₂⁻; ¹³CF₃⁻; ¹³CCF₃⁻; C₂F₅⁻; C₃F₅⁻
FEP,4,聚乙烯/聚丙烯碎片,0.6666666666666666,4,2,C₃H₅⁺; C₄H₇⁺; C₆H₁₁⁺; C₇H₁₃⁺
FEP,5,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
FEP,6,PVC含氯聚合物,0.6,3,2,³⁷Cl⁻; ³⁷Cl⁻; C₆H₅⁻
FEP,7,ABS苯乙烯三元共聚,0.6,3,2,C₇H₇⁺; CN⁻; C₄H₅⁺
FEP,8,POM甲醛链,0.5,3,3,CHO⁺; CH₂O⁺; C₂H₃O⁺
FEP,9,无机基准碎片,0.5,3,3,H⁻; O⁻; HO⁻
FEP,10,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
FEP,11,低碳含氧碎片,0.5,2,2,C₂H₃O⁺; C₂H₅O⁺
FEP,12,Cs离子束残留,0.5,1,1,Cs⁺
FEP,13,丙酮残留,0.5,1,1,C₂H₃O⁺
FEP,14,碱金属离子,0.4,2,3,Na⁺; Cs⁺
FEP,15,碳簇阴离子,0.4,2,3,C₂⁻; ¹³CC₂⁻
FEP,16,含氮碎片,0.3333333333333333,2,4,CN⁻; CNO⁻
FEP,17,Bi离子束残留,0.3333333333333333,1,2,Bi⁺
FEP,18,PVA聚乙烯醇,0.3333333333333333,1,2,C₂H₃O⁺
FEP,19,PET芳香酯碎片,0.25,1,3,C₇H₅O⁺
FEP,20,聚酰亚胺芳香碎片,0.25,1,3,CN⁻
Nomex,1,含氮碎片,1.0,6,0,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; CN⁻; CNO⁻; NO₂⁻
Nomex,2,碳簇阴离子,1.0,5,0,C⁻; C₂⁻; C₃⁻; C₄⁻; C₅⁻
Nomex,3,EVA乙烯-醋酸乙烯,1.0,4,0,C₂H₃O₂⁻; C₂H₃O₂⁻; C₂H₃O⁺; C₃H₅⁺
Nomex,4,丙酮残留,1.0,2,0,C₃H₅O⁺; C₂H₃O⁺
Nomex,5,聚乙烯/聚丙烯碎片,0.8333333333333334,5,1,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺
Nomex,6,POM甲醛链,0.8333333333333334,5,1,CHO⁺; CH₂O⁺; ¹³CH₃O⁺; C₂H₃O⁺; C₂H₄O₂⁺
Nomex,7,ABS苯乙烯三元共聚,0.8,4,1,C₆H₅⁺; C₇H₇⁺; CN⁻; C₄H₅⁺
Nomex,8,含氯污染,0.75,3,1,³⁷Cl⁻; ³⁷Cl⁻; ClO⁻
Nomex,9,低碳含氧碎片,0.75,3,1,C₂H₃O⁺; C₂H₅O⁺; C₃H₇O⁺
Nomex,10,无机基准碎片,0.6666666666666666,4,2,H⁻; O⁻; HO⁻; O₂⁻
Nomex,11,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
Nomex,12,PVA聚乙烯醇,0.6666666666666666,2,1,C₂H₃O⁺; C₃H₅O⁺
Nomex,13,PET芳香酯碎片,0.5,2,2,C₆H₅⁺; C₇H₅O⁺
Nomex,14,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; CN⁻
Nomex,15,IPA异丙醇残留,0.5,1,1,C₃H₇O⁺
Nomex,16,Cs离子束残留,0.5,1,1,Cs⁺
Nomex,17,聚苯乙烯碎片,0.4,2,3,C₆H₅⁺; C₇H₇⁺
Nomex,18,碱金属离子,0.4,2,3,Na⁺; Cs⁺
Nomex,19,PVC含氯聚合物,0.4,2,3,³⁷Cl⁻; ³⁷Cl⁻
Nomex,20,同位素卫星峰,0.4,2,3,C⁻; ³⁷Cl⁻
PAI,1,含氯碎片,1.0,3,0,Cl⁻; Cl⁻; CHCl⁻
PAI,2,无机基准碎片,0.8333333333333334,5,1,O⁻; HO⁻; O₂⁻; H₂O⁻; H⁺
PAI,3,含氯污染,0.75,3,1,Cl⁻; Cl⁻; CHCl⁻
PAI,4,低碳含氧碎片,0.75,3,1,C₂H₃O⁺; ¹³CCH₅O⁺; C₃H₇O⁺
PAI,5,聚乙烯/聚丙烯碎片,0.6666666666666666,4,2,C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺
PAI,6,含氮碎片,0.6666666666666666,4,2,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; CN⁻
PAI,7,PVC含氯聚合物,0.6,3,2,Cl⁻; Cl⁻; C₆H₅⁻
PAI,8,同位素卫星峰,0.6,3,2,C⁻; ³⁰Si⁺; Cl⁻
PAI,9,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; CN⁻
PAI,10,含氟碎片,0.5,2,2,F⁻; CF⁻
PAI,11,IPA异丙醇残留,0.5,1,1,C₃H₇O⁺
PAI,12,Cs离子束残留,0.5,1,1,Cs⁺
PAI,13,丙酮残留,0.5,1,1,C₂H₃O⁺
PAI,14,Indium键合残留,0.5,1,1,In⁺
PAI,15,PMMA酯链碎片,0.4,2,3,C₂H₃O⁺; C₅H₉O₂⁻
PAI,16,PEG聚醚链,0.4,2,3,¹³CCH₅O⁺; C₂H₅O₂⁻
PAI,17,含硫碎片,0.4,2,3,S⁻; HS⁻
PAI,18,碳簇阴离子,0.4,2,3,C⁻; C₂⁻
PAI,19,ABS苯乙烯三元共聚,0.4,2,3,CN⁻; C₄H₅⁺
PAI,20,Si基底,0.3333333333333333,2,4,³⁰Si⁺; HOSi⁺
PBI,1,聚乙烯/聚丙烯碎片,1.0,6,0,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺; C₈H₁₅⁺
PBI,2,含氮碎片,0.8333333333333334,5,1,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; CN⁻; CNO⁻
PBI,3,碱金属离子,0.8,4,1,Li⁺; Na⁺; K⁺; Cs⁺
PBI,4,ABS苯乙烯三元共聚,0.8,4,1,C₆H₅⁺; C₇H₇⁺; CN⁻; C₄H₅⁺
PBI,5,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
