material,top_order,peak_index,rank,mz,intensity,polarity,rf_formula_raw,normalized_formula,rf_score,rf_ppm,same_material_mode_match,same_material_formula_match,all_network_compound_count,all_network_compounds,formula_all_network_compound_count,formula_all_network_compounds,plain_presence_note,generation_types,network_formula_modes
ETFE,1,17,1,19.0009,9283993.47,-,F⁻,F,64,-102.5,False,True,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,neutral
ETFE,2,222,1,77.0238,1808046.67,+,C₂H₅O₃⁺,C2H5O3,91,-6.2,False,False,0,,5,EVA; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
ETFE,3,62,2,39.0088,4766494.32,-,F₂H⁻,F2H,76,-92.8,False,False,0,,0,,network未出现,,
ETFE,4,212,2,75.0076,1079420.2,+,C₂H₃O₃⁺,C2H3O3,85,0.9,False,False,0,,5,EVA; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
ETFE,5,2,3,1.0083,1806529.73,-,H⁻,H,100,73.4,False,False,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
ETFE,6,183,3,68.9995,1056925.06,+,C₃HO₂⁺,C3HO2,57,-34.7,False,False,4,EVA; PET; POMC; POMH,5,EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,,
ETFE,7,44,4,30.9992,1010130.6,+,CF⁺,CF,90,-43.4,False,True,0,,5,ETFE; FEP; PFA; PTFE; PVDF,公式在network中出现但极性未对应,,negative; neutral
ETFE,8,27,4,25.0078,632483.01,-,C₂H⁻,C2H,100,23.0,False,True,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,neutral
ETFE,9,289,5,95.0129,969473.92,+,C₅H₃O₂⁺,C5H3O2,100,-1.5,False,False,4,EVA; PET; POMC; POMH,6,EVA; PEEK; PEEK20%GFR; PET; POMC; POMH,公式+极性在network中出现,,
ETFE,10,94,5,48.0001,547887.81,-,CHFO⁻,CHFO,86,33.2,True,True,3,ETFE; PTFE; PVDF,3,ETFE; PTFE; PVDF,公式+极性在network中出现,adduct,negative
FEP,1,15,1,19.004,15600123.36,-,F⁻,F,100,-265.6,False,False,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,
FEP,2,150,1,68.9944,3092261.49,+,C₃HO₂⁺,C3HO2,100,39.2,False,False,4,EVA; PET; POMC; POMH,5,EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,,
FEP,3,337,2,130.9908,3089212.09,+,C₃F₅⁺,C3F5,66,5.1,False,True,0,,3,FEP; PFA; PTFE,公式在network中出现但极性未对应,,neutral
FEP,4,151,2,69.0002,3051644.88,-,CF₃⁻,CF3,100,-64.4,True,True,3,FEP; PFA; PTFE,4,ETFE; FEP; PFA; PTFE,公式+极性在network中出现,adduct,negative; neutral
FEP,5,225,3,92.997,3071922.53,+,C₅HO₂⁺,C5HO2,100,1.1,False,False,4,EVA; PET; POMC; POMH,6,EVA; PEEK; PEEK20%GFR; PET; POMC; POMH,公式+极性在network中出现,,
FEP,6,47,3,38.0024,2984574.62,-,F₂⁻,F2,100,-132.8,False,False,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,
FEP,7,34,4,30.9991,3071310.68,+,CF⁺,CF,91,-40.2,False,True,0,,5,ETFE; FEP; PFA; PTFE; PVDF,公式在network中出现但极性未对应,,neutral
FEP,8,302,4,118.9991,1164153.92,-,C₂F₅⁻,C2F5,100,-54.9,False,False,1,PTFE,1,PTFE,公式+极性在network中出现,,
FEP,9,253,5,99.9957,2926803.7,+,CHF₃NO⁺,CHF3NO,51,47.7,False,False,0,,0,,network未出现,,
FEP,10,63,5,43.0034,1010067.97,-,C₂F⁻,C2F,92,-103.4,False,False,0,,2,ETFE; PVDF,公式在network中出现但极性未对应,,
Nomex,1,2,1,1.0091,5248520.27,-,H⁻,H,15,-719.5,False,True,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,neutral
Nomex,2,475,1,132.9044,1294831.36,+,Cs⁺,Cs,90,3.8,False,False,0,,0,,network未出现,,
Nomex,3,39,2,26.0064,4604632.59,-,CN⁻,CN,60,-106.8,False,True,0,,1,Nomex,公式在network中出现但极性未对应,,neutral
Nomex,4,91,2,41.0383,945462.03,+,C₃H₅⁺,C3H5,100,6.7,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
Nomex,5,94,3,42.0002,2303986.71,-,CNO⁻,CNO,100,-39.6,True,True,1,Nomex,1,Nomex,公式+极性在network中出现,adduct,negative; neutral
Nomex,6,31,3,22.9892,682650.38,+,Na⁺,Na,89,0.9,False,False,0,,0,,network未出现,,
Nomex,7,262,4,79.9559,1663724.33,-,NaCaOH⁻,CaHNaO,31,-3.1,False,False,0,,0,,network未出现,,
Nomex,8,81,4,39.0222,554535.15,+,C₃H₃⁺,C3H3,100,18.6,False,False,5,COC; EVA; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
Nomex,9,36,5,25.008,1639609.37,-,C₂H⁻,C2H,100,15.0,False,False,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,
Nomex,10,101,5,43.0548,529717.03,+,C₃H₇⁺,C3H7,100,-13.3,False,False,6,COC; EVA; PEI; PET; POMC; POMH,6,COC; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PAI,1,507,1,132.9089,7370269.13,+,Cs⁺,Cs,93,-30.1,False,False,0,,0,,network未出现,,
PAI,2,1,1,1.0069,5409953.09,-,H⁻,H,15,1463.9,False,False,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PAI,3,41,2,26.0134,4686465.54,-,CN⁻,CN,18,-375.8,False,False,0,,1,Nomex,公式在network中出现但极性未对应,,
PAI,4,104,2,41.0386,1133892.78,+,C₃H₅⁺,C3H5,100,-0.6,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PAI,5,36,3,25.0158,2645204.51,-,C₂H⁻,C2H,100,-296.9,False,False,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,
PAI,6,56,3,29.039,688116.52,+,C₂H₅⁺,C2H5,100,-14.6,False,False,6,COC; ETFE; EVA; PEN; PET; PVDF,9,COC; ETFE; EVA; PEI; PEN; PET; POMC; POMH; PVDF,公式+极性在network中出现,,
PAI,7,17,4,15.9982,1643571.14,-,O⁻,O,15,-171.0,False,False,0,,6,EVA; Nomex; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PAI,8,46,4,27.0227,624689.76,+,C₂H₃⁺,C2H3,100,8.4,False,False,4,EVA; PEN; PET; PVDF,9,COC; ETFE; EVA; PEI; PEN; PET; POMC; POMH; PVDF,公式+极性在network中出现,,
